Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite_catch,Firefox 62.0,,2018-09-20 13:20:55,2018-09-20 13:21:32,"36,748s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Firefox 62.0,,2018-09-20 13:20:56,2018-09-20 13:21:04,"8,465s",PASSED
openBrowser,Firefox 62.0,,2018-09-20 13:20:56,2018-09-20 13:21:01,"4,710s",PASSED
navigateToUrl,Firefox 62.0,,2018-09-20 13:21:01,2018-09-20 13:21:02,"1,275s",PASSED
setText,Firefox 62.0,,2018-09-20 13:21:02,2018-09-20 13:21:02,"0,111s",PASSED
Statement - Try,Firefox 62.0,,2018-09-20 13:21:02,2018-09-20 13:21:04,"1,876s",PASSED
verifyElementText,Firefox 62.0,,2018-09-20 13:21:04,2018-09-20 13:21:04,"0,045s",PASSED
closeBrowser,Firefox 62.0,,2018-09-20 13:21:04,2018-09-20 13:21:04,"0,182s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Firefox 62.0,,2018-09-20 13:21:04,2018-09-20 13:21:11,"7,244s",PASSED
openBrowser,Firefox 62.0,,2018-09-20 13:21:04,2018-09-20 13:21:08,"3,840s",PASSED
navigateToUrl,Firefox 62.0,,2018-09-20 13:21:08,2018-09-20 13:21:09,"1,232s",PASSED
setText,Firefox 62.0,,2018-09-20 13:21:09,2018-09-20 13:21:09,"0,062s",PASSED
Statement - Try,Firefox 62.0,,2018-09-20 13:21:09,2018-09-20 13:21:11,"1,879s",PASSED
verifyElementText,Firefox 62.0,,2018-09-20 13:21:11,2018-09-20 13:21:11,"0,030s",PASSED
closeBrowser,Firefox 62.0,,2018-09-20 13:21:11,2018-09-20 13:21:11,"0,171s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Firefox 62.0,,2018-09-20 13:21:11,2018-09-20 13:21:18,"6,943s",PASSED
openBrowser,Firefox 62.0,,2018-09-20 13:21:11,2018-09-20 13:21:15,"3,845s",PASSED
navigateToUrl,Firefox 62.0,,2018-09-20 13:21:15,2018-09-20 13:21:16,"1,015s",PASSED
setText,Firefox 62.0,,2018-09-20 13:21:16,2018-09-20 13:21:16,"0,063s",PASSED
Statement - Try,Firefox 62.0,,2018-09-20 13:21:16,2018-09-20 13:21:18,"1,789s",PASSED
verifyElementText,Firefox 62.0,,2018-09-20 13:21:18,2018-09-20 13:21:18,"0,033s",PASSED
closeBrowser,Firefox 62.0,,2018-09-20 13:21:18,2018-09-20 13:21:18,"0,192s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Firefox 62.0,,2018-09-20 13:21:18,2018-09-20 13:21:25,"6,901s",PASSED
openBrowser,Firefox 62.0,,2018-09-20 13:21:18,2018-09-20 13:21:22,"3,816s",PASSED
navigateToUrl,Firefox 62.0,,2018-09-20 13:21:22,2018-09-20 13:21:23,"1,024s",PASSED
setText,Firefox 62.0,,2018-09-20 13:21:23,2018-09-20 13:21:23,"0,060s",PASSED
Statement - Try,Firefox 62.0,,2018-09-20 13:21:23,2018-09-20 13:21:25,"1,780s",PASSED
verifyElementText,Firefox 62.0,,2018-09-20 13:21:25,2018-09-20 13:21:25,"0,030s",PASSED
closeBrowser,Firefox 62.0,,2018-09-20 13:21:25,2018-09-20 13:21:25,"0,185s",PASSED
,,,,,,
Test Cases/testGoogle-catchexception,Firefox 62.0,,2018-09-20 13:21:25,2018-09-20 13:21:32,"6,888s",PASSED
openBrowser,Firefox 62.0,,2018-09-20 13:21:25,2018-09-20 13:21:29,"3,848s",PASSED
navigateToUrl,Firefox 62.0,,2018-09-20 13:21:29,2018-09-20 13:21:30,"1,018s",PASSED
setText,Firefox 62.0,,2018-09-20 13:21:30,2018-09-20 13:21:30,"0,061s",PASSED
Statement - Try,Firefox 62.0,,2018-09-20 13:21:30,2018-09-20 13:21:32,"1,756s",PASSED
verifyElementText,Firefox 62.0,,2018-09-20 13:21:32,2018-09-20 13:21:32,"0,029s",PASSED
closeBrowser,Firefox 62.0,,2018-09-20 13:21:32,2018-09-20 13:21:32,"0,170s",PASSED
